ZIP,Mean_Income,Estimated PV System Size (kWdc),PV System Size (kWac),Estimated Annual PV Energy Production (kWh)
11789,118521,1186.96,1014.49,1393291
11790,169430,4125.27,3513.9,4842296
11791,239580,7591.63,6332.41,8911367
11792,156389,3065.39,2620.07,3598390
11793,169034,11396.06,9412.12,13377065
11795,164321,10696.73,9106.67,12556388
11796,135728,2042.76,1573.62,2397850
11797,272715,1865.68,1588.18,2190075
11798,101509,5928.23,5064.93,6958672
11801,142767,11985.58,10064.81,14069009
11803,199495,10118.29,8493.82,11877250
11804,184540,2232.89,1780.98,2621021
11901,97314,7579.13,6231.45,8896715
11930,232401,1535.3,1311.17,1802219
11932,178588,3136.8,2680.0,3682026
11933,94247,15766.72,11795.15,18507616
11934,137553,3343.06,2850.45,3924210
11935,193190,530.94,453.77,623207
11937,193396,9101.39,7612.42,10683468
11939,130902,433.35,370.38,508676
11940,159616,1629.18,1392.42,1912338
11941,129247,776.51,661.7,911486
11942,131356,1213.74,1037.37,1424714
11944,126164,425.28,363.47,499186
11946,137847,3456.68,2953.45,4057418
11948,113488,527.25,450.62,618875
11949,128977,6507.43,5394.63,7638690
11950,112335,3698.53,3160.58,4341526
11951,96456,2868.4,2450.97,3367055
11952,111174,1961.57,1674.52,2302546
11953,98575,2342.77,2000.99,2749911
11954,205992,2369.07,2023.81,2780983
11955,76220,553.66,472.48,649913
11956,115574,149.76,128.0,175795
11957,170406,413.02,353.0,484810
11958,82667,572.57,485.94,672084
11959,141732,1030.87,878.14,1210053
11960,183876,687.48,587.61,807019
11961,98778,3846.95,3283.37,4515615
11962,293535,943.92,806.77,1108010
11963,179293,2345.97,2003.75,2753706
11964,118313,1777.57,1515.88,2086504
11965,106755,119.61,102.25,140430
11967,141151,19861.73,15385.6,23314429
11968,245620,6196.02,5282.77,7272858
11970,162152,42.58,36.39,49977
11971,152509,2773.23,2363.61,3255316
11972,133795,281.6,240.7,330574
11975,272964,585.84,500.72,687684
11976,285393,2971.04,2539.34,3487511
11977,193537,1135.81,970.29,1333193
11978,182541,5594.56,4245.63,6567103
11980,114128,2321.93,1962.92,2725605
12007,83777,21.29,18.2,24995
12008,129700,79.74,68.15,93581
12009,121572,10502.96,7901.85,12328798
12010,69218,34008.09,25520.46,39920079
12015,103410,827.69,707.43,971569
12017,77532,167.38,143.05,196471
12018,121762,2058.55,1748.85,2416417
12019,138383,14785.68,11021.14,17356031
12020,105578,5660.04,4806.84,6643970
12022,87089,207.24,176.54,243264
12023,94866,661.71,564.98,776752
12024,68411,4.68,4.0,5494
12025,89397,3636.37,2750.63,4268525
12027,121908,886.66,752.7,1040781
12028,80243,529.53,448.34,621601
12029,106868,430.35,366.52,505158
12031,81101,37.99,32.48,44594
12032,71942,46.33,39.6,54387
12033,95378,23818.35,17645.88,27959003
12035,86421,150.84,128.93,177072
